FrameIndex,Fish0_x,Fish0_y,Fish1_x,Fish1_y
192,98,317,1094,833
193,93,285,1094,833
194,93,285,1094,833
195,93,285,1094,833
196,94,291,1094,833
197,95,292,1094,833
198,95,292,1094,833
199,90,266,1094,833
200,90,266,1094,833
201,90,267,1094,833
202,91,267,1094,833
203,92,264,1094,833
204,92,264,1094,833
205,87,265,1094,833
206,78,277,1094,833
207,78,277,1094,833
208,78,277,1094,833
209,100,568,1094,833
210,100,568,1094,833
211,125,535,1094,833
212,125,534,1094,833
213,125,534,1094,833
214,125,534,1094,833
215,131,660,1094,833
216,134,755,1094,833
217,135,759,1094,833
218,135,759,1094,833
219,135,759,1094,833
220,136,760,1094,833
221,136,760,1094,833
222,136,760,1094,833
223,136,760,1094,833
224,134,760,1094,833
225,134,761,1094,833
226,136,761,1094,833
227,137,756,1094,833
228,141,729,1094,833
229,141,729,1094,833
230,136,761,1094,833
231,136,761,1094,833
232,137,761,1094,833
233,137,761,1094,833
234,136,760,1094,833
235,136,760,1094,833
236,136,760,1094,833
237,136,760,1094,833
238,136,760,1094,833
239,136,760,1094,833
240,136,761,1094,833
241,136,761,1094,833
242,136,761,1094,833
243,136,761,1094,833
244,136,761,1094,833
245,136,761,1094,833
246,136,761,1094,833
247,136,761,1094,833
248,136,761,1094,833
249,136,761,1094,833
250,136,761,1094,833
251,136,761,1094,833
252,136,761,1094,833
253,136,761,1094,833
254,136,762,1094,833
255,136,762,1094,833
256,136,762,1094,833
257,136,762,1094,833
258,136,762,1094,833
259,136,762,1094,833
260,136,762,1094,833
261,136,761,1094,833
262,136,761,1094,833
263,136,761,1094,833
264,136,761,1094,833
265,136,761,1094,833
266,137,760,1094,833
267,137,760,1094,833
268,143,721,1094,833
269,147,721,1094,833
270,143,692,1094,833
271,135,739,1094,833
272,135,708,1094,833
273,136,766,1094,833
274,136,708,1094,833
275,135,766,1094,833
276,135,672,1094,833
277,139,673,1094,833
278,142,673,1094,833
279,143,680,1094,833
280,144,685,1094,833
281,144,690,1094,833
282,145,695,1094,833
283,145,700,1094,833
284,145,705,1094,833
285,145,705,1094,833
286,139,668,1094,833
287,139,668,1094,833
288,146,703,1094,833
289,146,703,1094,833
290,145,696,1094,833
291,145,696,1094,833
292,146,702,1094,833
293,146,707,1094,833
294,146,708,1094,833
295,146,709,1094,833
296,146,708,1094,833
297,146,707,1094,833
298,146,706,1094,833
299,146,706,1094,833
300,146,722,1094,833
301,137,753,1094,833
302,137,756,1094,833
303,137,757,1094,833
304,137,762,1094,833
305,137,762,1094,833
306,136,750,1094,833
307,136,750,1094,833
308,136,758,1094,833
309,136,762,1094,833
310,136,762,1094,833
311,136,762,1094,833
312,136,762,1094,833
313,136,762,1094,833
314,136,762,1094,833
315,136,762,1094,833
316,137,762,1094,833
317,137,758,1094,833
318,137,758,1094,833
319,147,722,1094,833
320,147,727,1094,833
321,147,727,1094,833
322,138,750,1094,833
323,137,758,1094,833
324,137,760,1094,833
325,137,760,1094,833
326,137,760,1094,833
327,136,760,1094,833
328,136,716,1094,833
329,146,716,1094,833
330,146,715,1094,833
331,146,715,1094,833
332,144,711,1094,833
333,144,704,1094,833
334,144,704,1094,833
335,138,763,1094,833
336,138,763,1094,833
337,140,678,1094,833
338,142,673,1094,833
339,142,673,1094,833
340,139,673,1094,833
341,138,764,1094,833
342,139,764,1094,833
343,138,764,1094,833
344,138,763,1094,833
345,138,763,1094,833
346,138,763,1094,833
347,139,763,1094,833
348,138,763,1094,833
349,137,763,1094,833
350,137,766,1094,833
351,137,766,1094,833
352,137,766,1094,833
353,137,766,1094,833
354,137,766,1094,833
355,139,667,1094,833
356,1490,318,1094,833
357,1506,318,1094,833
358,1526,324,1094,833
359,1547,330,1094,833
360,1556,333,1094,833
361,1584,346,1094,833
362,1604,346,1094,833
363,1609,366,1094,833
364,1609,375,1094,833
365,1608,378,1094,833
366,1608,380,1094,833
367,1602,383,1094,833
368,1599,383,1094,833
369,1562,383,1094,833
370,1530,388,1094,833
371,1506,394,1094,833
372,1487,398,1094,833
373,1472,398,1094,833
