FrameIndex,Fish0_x,Fish0_y,Fish1_x,Fish1_y
24135,1081,702,1067,613
24136,1069,679,1122,594
24137,1055,650,1175,583
24138,1057,648,1220,579
24139,1085,662,1265,569
24140,1125,684,1366,542
24141,1151,690,1434,523
24142,1192,696,1487,510
24143,1221,701,1535,502
24144,1246,707,1563,495
24145,1268,712,1268,712
24146,1288,718,1571,462
24147,1308,725,1556,444
24148,1329,729,1550,440
24149,1343,732,1541,434
24150,1355,729,1522,425
24151,1367,725,1510,420
24152,1363,726,1484,412
24153,1352,726,1461,407
24154,1324,736,1429,402
24155,1304,742,1402,400
24156,1273,750,1376,399
24157,1244,757,1360,398
24158,1220,765,1336,395
24159,1188,774,1315,394
24160,1154,779,1287,395
24161,1112,783,1259,402
24162,1077,786,1232,414
24163,1047,789,1206,427
24164,1020,792,1183,441
24165,997,794,1160,460
24166,975,797,1131,485
24167,957,801,1105,507
24168,942,804,1079,526
24169,914,812,1055,543
24170,882,823,1028,555
24171,866,833,1004,564
24172,842,836,984,564
24173,815,870,957,564
24174,814,881,926,573
24175,815,892,890,588
24176,827,898,863,607
24177,838,898,845,637
24178,847,901,859,663
24179,867,901,875,677
24180,881,902,892,683
24181,893,903,901,683
24182,922,899,916,684
24183,935,895,927,686
24184,966,892,938,687
24185,987,890,951,688
24186,980,895,960,688
24187,969,687,969,687
24188,977,687,977,687
24189,1031,696,1024,849
24190,992,685,1035,838
24191,1021,687,1021,687
24192,1065,692,1065,692
24193,1116,675,1116,675
24194,1185,649,1063,736
24195,1185,649,1075,726
24196,1185,649,1099,713
24197,1390,565,1125,701
24198,1406,556,1163,683
24199,1426,556,1209,656
24200,1450,562,1274,613
24201,1387,584,1387,584
24202,1518,651,1344,580
24203,1534,717,1364,572
24204,1522,749,1388,564
24205,1507,763,1406,558
24206,1489,773,1432,559
24207,1474,780,1470,574
24208,1461,785,1495,599
24209,1452,790,1517,633
24210,1442,795,1528,665
24211,1434,801,1539,691
24212,1428,807,1550,716
