VideoName,BehaviorName,StartFrame,EndFrame,BehaviorType,DTW_distance,Fish0_avg_velocity,Fish1_avg_velocity,Fish0_movement_length,Fish1_movement_length,movement_length_differnece
1-22_2nd,bite,15978,15992,1,848.73,25.64,26.57,359,372,-13
1-22_2nd,bite,15230,15246,1,536.71,30.88,24.25,494,388,106
1-22_2nd,bite,12520,12540,1,351.35,33.0,23.85,660,477,183
1-22_2nd,bite,4277,4323,1,852.77,30.26,18.87,1392,868,524
1-22_2nd,bite,16946,16963,1,590.69,32.12,36.65,546,623,-77
1-22_2nd,bite,4101,4154,1,973.15,19.68,25.34,1043,1343,-300
1-22_2nd,bite,3882,3933,1,514.31,20.25,21.22,1033,1082,-49
1-22_2nd,bite,735,840,1,809.53,28.07,20.86,2947,2190,757
1-22_2nd,bite,3093,3152,1,543.38,16.93,14.36,999,847,152
1-22_2nd,chase,13685,13742,2,786.07,35.77,39.09,2039,2228,-189
1-22_2nd,chase,16117,16140,2,657.98,29.7,23.87,683,549,134
1-22_2nd,chase,16372,16388,2,253.83,33.88,29.88,542,478,64
1-22_2nd,chase,15150,15165,2,2167.29,46.87,23.47,703,352,351
1-22_2nd,display,2790,2817,4,675.11,14.15,27.3,382,737,-355
1-22_2nd,display,10060,10083,4,646.41,23.17,26.91,533,619,-86
1-22_2nd,display,9188,9255,4,1423.82,20.15,16.0,1350,1072,278
1-22_2nd,display,1956,2010,4,593.58,21.78,15.39,1176,831,345
1-22_2nd,display,1700,1758,4,951.07,24.93,9.5,1446,551,895
1-22_2nd,display,1420,1495,4,676.48,10.28,12.28,771,921,-150
1-22_2nd,display,1215,1280,4,917.0,11.75,20.83,764,1354,-590
1-22_2nd,display,850,905,4,601.06,14.09,13.15,775,723,52
1-22_2nd,display,1794,1851,4,859.37,9.14,9.04,521,515,6
1-22_2nd,normal,11453,11525,5,1752.38,22.11,17.79,1592,1281,311
1-22_2nd,normal,15253,15294,5,1469.64,18.15,8.49,744,348,396
1-22_2nd,normal,15523,15589,5,2805.96,19.36,10.62,1278,701,577
1-22_2nd,normal,15628,15674,5,1364.41,22.74,11.13,1046,512,534
1-22_2nd,normal,11305,11376,5,2431.76,21.97,16.23,1560,1152,408
1-22_2nd,normal,10855,10892,5,1495.34,20.84,21.05,771,779,-8
1-22_2nd,normal,10420,10505,5,2918.33,12.49,25.27,1062,2148,-1086
1-22_2nd,normal,10341,10389,5,2515.45,21.42,11.71,1028,562,466
1-22_2nd,normal,9644,9689,5,3105.91,16.11,19.36,725,871,-146
1-22_2nd,normal,9041,9076,5,2702.73,28.46,16.17,996,566,430
1-22_2nd,normal,10898,10958,5,2651.81,21.8,18.63,1308,1118,190
1-22_2nd,normal,15183,15225,5,2519.35,25.33,11.95,1064,502,562
1-22_2nd,normal,14801,14869,5,2021.71,17.74,18.32,1206,1246,-40
1-22_2nd,normal,14507,14573,5,6852.49,10.45,18.59,690,1227,-537
1-22_2nd,normal,14390,14465,5,1593.53,18.31,24.09,1373,1807,-434
1-22_2nd,normal,12011,12114,5,2489.3,20.8,17.35,2142,1787,355
1-22_2nd,normal,13577,13626,5,2459.66,6.96,18.59,341,911,-570
1-22_2nd,normal,13200,13290,5,1724.84,14.99,17.99,1349,1619,-270
1-22_2nd,normal,12467,12508,5,4696.58,11.8,18.73,484,768,-284
1-22_2nd,normal,12831,12964,5,2096.24,14.11,19.28,1877,2564,-687
1-22_2nd,normal,12549,12649,5,3675.17,14.91,16.91,1491,1691,-200
1-22_2nd,normal,12766,12805,5,1766.11,15.49,15.05,604,587,17
1-22_2nd,normal,8649,8684,5,3088.99,17.31,30.31,606,1061,-455
1-22_2nd,normal,7484,7545,5,2663.88,22.74,31.11,1387,1898,-511
1-22_2nd,normal,11893,11942,5,2239.61,30.12,8.82,1476,432,1044
1-22_2nd,normal,8670,8756,5,3012.2,16.27,17.79,1399,1530,-131
