FrameIndex,Fish0_x,Fish0_y,Fish1_x,Fish1_y,Behavior,Fish0_moving_distance,Fish1_moving_distance,Fish0_moving_direction,Fish1_moving_direction
11941,484,761,745,785,0,23.41,18.25,0,0
11942,462,769,727,782,0,21.54,20.22,0,0
11943,442,777,707,779,0,17.46,19.03,0,0
11944,426,784,688,778,0,16.55,22.0,0,0
11945,411,791,666,778,0,13.42,26.17,0,0
11946,399,797,640,775,0,13.42,29.43,0,0
11947,387,803,611,770,0,10.77,37.11,0,0
11948,377,807,575,761,0,7.62,37.36,0,0
11949,370,810,539,751,0,3.16,36.4,0,0
11950,369,813,504,741,0,2.0,28.16,0,0
11951,369,815,477,733,0,4.12,25.0,0,0
11952,370,819,453,726,0,0.0,21.59,0,0
11953,370,819,432,721,0,4.0,19.42,0,0
11954,370,815,413,717,0,8.06,17.12,0,0
11955,371,807,396,715,0,10.82,14.04,0,0
11956,377,798,382,714,0,10.63,12.0,0,0
11957,384,790,370,714,0,8.94,10.0,0,0
11958,388,782,360,714,0,5.39,12.04,0,0
11959,390,777,348,715,0,5.1,10.2,0,0
11960,391,772,338,713,0,8.54,7.28,0,0
11961,399,769,331,711,0,10.05,2.0,0,0
11962,409,768,331,709,0,11.05,4.0,0,0
11963,420,767,335,709,0,12.0,5.0,0,0
11964,432,767,340,709,0,10.44,6.08,0,0
11965,442,764,346,710,0,10.44,9.0,0,0
11966,452,761,355,710,0,9.9,3.16,0,0
11967,459,754,358,711,0,8.6,1.41,0,0
11968,464,747,359,710,0,8.06,3.61,0,0
11969,468,740,357,707,0,5.0,6.08,0,0
11970,472,737,358,701,0,5.0,5.1,0,0
11971,475,733,359,696,0,5.1,4.12,0,0
11972,474,728,358,692,0,7.28,5.1,0,0
11973,472,721,357,687,0,6.32,6.08,0,0
11974,470,715,356,681,0,3.61,8.6,0,0
11975,472,712,361,674,0,3.16,15.81,0,0
11976,473,709,376,669,0,15.26,30.0,0,0
11977,465,696,406,669,0,8.25,36.35,0,0
11978,467,688,442,674,0,11.7,37.36,0,0
11979,478,684,478,684,0,27.86,27.86,0,0
11980,504,694,504,694,0,9.06,33.84,0,0
11981,495,695,536,705,0,22.09,31.32,0,0
11982,473,693,566,714,0,29.15,31.32,0,0
11983,444,690,596,723,0,7.62,17.46,0,0
11984,437,693,613,727,0,6.71,13.34,0,0
11985,431,696,626,730,0,5.83,12.37,0,0
11986,426,699,638,733,0,8.54,12.65,0,0
11987,418,702,650,737,0,7.62,10.44,0,0
11988,411,705,660,740,0,7.21,9.85,0,0
11989,405,709,669,744,0,5.66,9.85,0,0
11990,401,713,678,748,0,4.12,8.94,0,0
11991,400,717,686,752,0,4.12,8.06,0,0
11992,399,721,693,756,0,4.12,8.94,0,0
11993,398,725,701,760,0,4.0,9.22,0,0
11994,398,729,710,762,0,5.1,12.37,0,0
11995,397,734,722,765,0,5.0,13.93,0,0
11996,397,739,735,770,0,6.0,10.82,0,0
11997,397,745,744,776,0,7.07,7.21,0,0
11998,398,752,748,782,0,6.32,5.1,0,0
11999,400,758,747,787,0,7.07,7.21,0,0
12000,401,765,741,791,0,10.44,15.3,0,0
12001,404,775,726,794,0,11.7,24.02,0,0
12002,408,786,702,795,5,13.6,30.07,0,0
12003,412,799,672,797,5,11.18,30.15,0,0
12004,414,810,642,800,5,14.14,27.29,0,0
