VideoName,BehaviorName,StartFrame,EndFrame,BehaviorType,DTW_distance,Fish0_avg_velocity,Fish1_avg_velocity,Fish0_min_velocity,Fish1_min_velocity,Fish0_max_velocity,Fish1_max_velocity,Fish0_movement_length,Fish1_movement_length,movement_length_differnece,Fish0_moving_direction_x,Fish0_moving_direction_y,Fish1_moving_direction_x,Fish1_moving_direction_y,same_direction_ratio,max_vector_angle,min_vector_angle,avg_vector_angle
1-14,chase,7775,7795,1,682.13,33.15,27.01,1.0,9.49,65.19,57.0,629.87,513.16,116.71,-626,-5,-510,44,1.0,41.63,1.15,11.69
1-14,chase,9284,9304,1,426.78,44.58,28.71,9.0,9.0,133.7,49.24,847.1,545.53,301.57,-732,89,-491,164,0.65,118.42,0.0,31.85
1-14,chase,537,556,1,829.82,28.27,24.37,0.0,2.0,69.64,49.25,508.83,438.74,70.09,-473,140,39,-34,0.63,180.0,1.62,71.6
1-14,chase,5159,5172,1,703.68,21.03,14.07,6.71,4.47,36.5,29.27,252.37,168.82,83.55,-185,-75,139,-63,0.31,152.3,74.72,114.22
1-14,chase,13954,13976,1,586.91,41.84,45.64,0.0,8.25,299.74,81.02,878.73,958.47,-79.74,-859,-9,-954,33,0.73,160.34,0.0,36.08
1-14,chase,3260,3269,1,125.81,12.53,10.01,0.0,2.83,82.28,49.16,100.26,80.09,20.17,71,-11,66,25,0.11,116.56,68.2,94.85
1-14,chase,3079,3141,1,777.46,16.52,19.53,0.0,0.0,98.06,74.2,1007.71,1191.15,-183.44,-352,57,-16,22,0.42,180.0,0.0,92.15
1-14,chase,4447,4481,1,1144.79,25.27,33.41,0.0,0.0,71.45,179.57,833.89,1102.61,-268.72,613,30,598,-10,0.44,168.1,0.0,81.05
1-14,chase,3690,3748,1,588.42,27.1,29.25,0.0,0.0,95.46,68.88,1544.73,1667.15,-122.42,945,9,943,233,0.71,174.44,0.0,60.73
1-14,chase,2117,2145,1,1189.08,39.6,25.26,7.62,8.54,89.54,78.31,1069.28,681.95,387.33,734,-47,453,193,0.57,178.02,0.0,73.47
1-14,chase,2519,2555,1,495.98,22.53,20.4,0.0,0.0,63.03,71.02,788.53,714.13,74.4,451,-24,254,4,0.28,178.19,0.0,104.88
1-14,chase,1959,2086,1,1329.51,29.12,32.97,0.0,0.0,111.57,163.51,3668.7,4154.13,-485.43,-882,-72,-1385,-25,0.65,180.0,0.0,69.91
1-14,chase,3957,3998,1,385.32,17.81,19.26,0.0,2.83,52.0,55.01,712.24,770.45,-58.21,-36,-240,151,-135,0.78,139.76,7.43,56.78
1-14,chase,4011,4028,1,504.62,23.76,24.77,3.0,0.0,57.22,54.23,380.12,396.38,-16.26,336,153,230,-4,0.59,162.23,0.0,67.08
1-14,chase,1683,1832,1,1156.57,29.0,33.98,1.0,0.0,120.83,105.34,4292.7,5029.66,-736.96,-787,23,-1186,33,0.7,180.0,0.0,57.31
1-14,chase,15136,15162,1,561.78,27.42,18.97,0.0,3.61,57.58,48.26,685.61,474.36,211.25,-674,26,-386,28,0.85,123.72,5.44,33.39
1-14,chase,2562,2604,1,271.64,28.3,25.44,1.0,0.0,126.0,110.22,1160.39,1043.04,117.35,287,-174,225,-181,0.43,180.0,0.0,57.7
1-14,display,12209,12240,2,1128.06,15.13,14.24,5.1,2.24,38.63,30.89,453.84,427.34,26.5,402,-54,-173,-35,0.23,178.02,22.38,132.56
1-14,display,12367,12390,2,630.32,15.19,32.25,0.0,7.0,40.5,72.03,334.21,709.44,-375.23,-30,-95,-398,-95,0.3,178.38,9.9,113.95
1-14,display,12396,12450,2,1359.37,7.4,16.13,0.0,1.0,40.0,47.07,392.45,854.66,-462.21,259,44,-65,23,0.26,180.0,0.0,99.22
1-14,display,23465,23515,2,614.03,15.65,11.46,2.0,0.0,66.01,57.04,766.97,561.68,205.29,-7,-47,-71,-16,0.22,180.0,0.0,117.09
1-14,display,12555,12617,2,882.37,10.5,17.67,0.0,1.0,44.18,61.01,640.78,1077.87,-437.09,172,23,6,0,0.44,180.0,0.0,80.8
1-14,display,14141,14210,2,920.04,11.4,14.95,0.0,0.0,54.57,58.55,775.21,1016.72,-241.51,148,-34,-228,25,0.43,180.0,0.0,81.22
1-14,display,22230,22280,2,941.46,10.13,8.7,1.0,0.0,36.0,49.66,496.16,426.41,69.75,114,95,-218,93,0.44,180.0,0.0,88.59
1-14,display,12860,12887,2,471.14,17.85,21.06,0.0,2.83,44.72,70.35,464.08,547.55,-83.47,-79,-54,-75,11,0.26,180.0,0.0,105.7
1-14,display,20638,20701,2,1273.38,8.46,8.52,0.0,0.0,26.17,20.88,524.41,528.1,-3.69,-92,135,158,-52,0.22,180.0,10.0,114.4
1-14,display,20311,20357,2,964.88,20.33,18.25,0.0,0.0,70.23,56.04,914.63,821.35,93.28,513,-154,-50,58,0.46,180.0,0.0,85.69
1-14,display,18341,18372,2,516.06,7.25,10.39,0.0,0.0,44.6,49.82,217.62,311.82,-94.2,-128,-30,103,69,0.26,173.67,0.0,89.56
1-14,display,13185,13300,2,1461.22,12.51,13.75,0.0,0.0,77.49,87.66,1426.05,1566.96,-140.91,-3,-98,505,80,0.49,173.57,0.0,59.54
1-14,display,11730,11767,2,552.04,10.59,10.44,0.0,0.0,56.04,61.52,381.3,376.02,5.28,22,56,-42,43,0.05,178.02,0.0,114.16
1-14,display,15864,15920,2,737.09,19.59,19.12,0.0,0.0,54.59,96.8,1077.45,1051.86,25.59,526,-80,-1,-50,0.43,180.0,0.0,74.82
1-14,display,15205,15225,2,607.34,12.84,20.79,6.0,0.0,26.31,43.66,243.89,395.01,-151.12,-160,17,165,41,0.25,177.86,7.78,124.49
1-14,display,24754,24790,2,598.08,13.03,18.9,0.0,5.0,57.27,47.0,456.03,661.56,-205.53,-116,123,-40,54,0.25,167.9,3.14,114.2
1-14,display,24997,25018,2,865.67,19.77,14.04,0.0,0.0,35.38,28.0,395.46,280.85,114.61,-171,161,87,-4,0.0,180.0,90.0,139.47
1-14,display,19865,19918,2,1016.63,10.88,9.06,0.0,0.0,95.71,42.45,565.97,470.96,95.01,-161,157,160,-52,0.28,180.0,30.51,110.36
1-14,display,27096,27150,2,1790.75,8.7,14.13,0.0,1.0,31.02,81.04,461.27,748.67,-287.4,247,1,-210,-13,0.24,180.0,0.0,115.98
1-14,display,4398,4446,2,801.76,9.07,15.49,0.0,0.0,22.0,60.08,426.41,728.09,-301.68,-365,-81,-314,-75,0.6,158.96,2.81,71.18
1-14,display,11520,11562,2,1153.56,15.37,11.64,5.39,0.0,40.0,32.06,630.25,477.12,153.13,-61,-42,338,-28,0.14,180.0,40.45,138.17
1-14,display,3783,3793,2,566.8,10.09,15.14,5.0,2.0,16.03,56.09,90.82,136.28,-45.46,-20,-32,-26,-35,0.3,172.52,26.57,105.84
1-14,display,3858,3902,2,805.38,12.74,15.63,0.0,5.0,63.63,27.17,548.03,672.23,-124.2,393,-193,160,-139,0.59,173.31,4.58,76.03
1-14,display,3999,4010,2,233.65,13.15,16.96,0.0,0.0,25.02,53.81,131.47,169.65,-38.18,16,-18,59,46,0.09,178.19,87.71,127.89
1-14,display,4033,4102,2,901.19,22.46,13.29,0.0,0.0,51.0,34.93,1527.45,903.67,623.78,264,1,440,-14,0.8,179.19,0.0,54.86
1-14,display,4254,4286,2,1145.93,16.68,9.54,0.0,1.0,41.01,27.89,517.17,295.73,221.44,-96,113,-280,-5,0.47,180.0,13.71,93.5
1-14,display,4327,4378,2,694.04,10.25,13.87,0.0,0.0,28.65,59.23,512.28,693.6,-181.32,-233,108,57,-6,0.24,180.0,0.0,101.52
1-14,display,3321,3388,2,1148.04,6.17,8.03,0.0,0.0,21.02,34.01,407.07,530.01,-122.94,55,89,285,-97,0.39,180.0,0.0,81.94
1-14,display,2229,2264,2,585.49,12.8,29.99,0.0,0.0,50.33,102.0,435.18,1019.67,-584.49,5,54,-134,21,0.14,178.85,0.0,112.35
1-14,display,4510,4540,2,739.48,30.19,17.25,0.0,4.47,58.46,37.34,875.59,500.17,375.42,-705,-151,-332,-126,0.6,146.32,0.0,56.95
1-14,display,4584,4605,2,474.4,17.87,9.07,2.0,2.0,49.04,23.02,357.45,181.46,175.99,-83,112,-174,-22,0.67,158.97,0.0,64.86
1-14,display,4655,4662,2,432.61,13.98,9.88,5.1,1.41,23.02,17.0,83.88,59.3,24.58,-65,25,53,-17,0.0,180.0,138.37,160.39
1-14,display,5025,5041,2,664.43,10.24,19.96,0.0,6.0,56.32,37.85,153.67,299.46,-145.79,-140,3,-38,72,0.5,177.08,6.93,81.43
1-14,display,5148,5158,2,671.65,11.98,13.37,1.0,9.0,31.05,19.0,107.85,120.31,-12.46,41,-90,120,5,0.6,100.91,30.65,68.49
1-14,display,5173,5181,2,541.42,17.32,18.68,6.0,12.65,53.04,28.32,121.21,130.75,-9.54,-21,-93,-112,-65,1.0,85.81,21.14,51.6
1-14,display,5045,5056,2,563.67,12.35,7.86,1.0,3.0,38.91,18.44,123.53,78.64,44.89,67,91,14,51,0.64,160.8,0.0,52.49
1-14,display,6160,6260,2,1412.02,19.33,17.73,0.0,0.0,60.22,109.66,1914.07,1755.13,158.94,394,44,201,243,0.32,180.0,0.0,97.03
1-14,display,9909,9950,2,657.65,9.68,12.04,0.0,0.0,28.32,35.0,387.33,481.53,-94.2,-27,147,-81,-39,0.15,179.19,5.0,126.86
1-14,display,8871,8938,2,756.4,9.51,6.61,0.0,0.0,32.14,35.06,627.73,436.0,191.73,-136,115,83,40,0.54,180.0,1.4,75.5
1-14,display,8682,8870,2,1102.27,10.23,14.21,0.0,0.0,77.78,78.45,1913.46,2657.04,-743.58,126,-130,-67,-62,0.43,180.0,0.0,83.53
1-14,display,8374,8425,2,651.79,17.3,12.34,0.0,0.0,53.14,43.38,864.97,617.21,247.76,220,30,-119,54,0.08,180.0,49.57,132.75
1-14,display,7863,7919,2,931.63,7.87,7.33,0.0,0.0,68.25,57.22,432.84,403.17,29.67,107,-60,-230,48,0.32,180.0,0.0,94.96
1-14,display,5610,5638,2,369.9,10.91,18.87,0.0,0.0,72.03,61.07,294.52,509.45,-214.93,222,3,25,-73,0.21,180.0,11.3,121.97
1-14,display,7600,7641,2,878.08,12.92,8.83,0.0,0.0,40.45,36.0,516.76,353.07,163.69,365,-47,65,-1,0.27,180.0,6.01,104.91
1-14,display,7798,7826,2,762.67,9.52,11.67,1.0,0.0,29.07,32.39,257.0,315.17,-58.17,-143,-66,-247,-37,0.54,180.0,3.03,73.8
1-14,display,6770,6810,2,852.78,10.57,9.59,0.0,0.0,78.03,50.04,412.42,374.02,38.4,-99,-80,-146,29,0.38,180.0,0.0,75.11
1-14,display,6567,6613,2,845.14,13.76,11.59,0.0,0.0,55.23,64.03,619.09,521.62,97.47,38,190,54,19,0.11,178.6,0.0,126.47
1-14,display,6479,6500,2,411.25,7.71,10.72,0.0,1.41,25.46,32.25,154.23,214.47,-60.24,-61,6,77,-37,0.19,173.67,0.0,104.76
1-14,display,6360,6470,2,922.34,12.85,13.23,0.0,0.0,63.16,58.69,1400.14,1442.15,-42.01,104,47,-2,168,0.45,180.0,0.0,89.54
1-14,display,2265,2404,2,1248.66,25.17,16.05,0.0,0.0,88.02,105.72,3473.17,2215.23,1257.94,192,152,-70,-43,0.37,180.0,1.15,103.77
1-14,display,3530,3555,2,1008.07,16.59,10.56,4.0,1.0,33.02,23.09,398.19,253.47,144.72,95,-255,-139,-100,0.32,172.66,41.99,100.63
1-14,normal,25055,25100,3,6122.6,15.23,13.24,1.0,0.0,38.6,39.12,670.04,582.53,87.51,622,-149,-439,160,0.16,180.0,60.95,136.94
1-14,normal,2089,2116,3,704.8,24.75,11.81,0.0,0.0,52.0,36.69,643.5,307.13,336.37,-37,188,160,-48,0.52,168.1,0.81,80.71
1-14,normal,2605,2644,3,591.93,11.9,18.24,0.0,0.0,45.31,73.0,452.28,692.95,-240.67,0,-158,-214,-123,0.44,176.66,8.35,88.49
1-14,normal,25736,25776,3,2925.06,22.19,15.17,6.32,5.0,48.47,35.13,865.56,591.65,273.91,242,222,523,189,0.5,165.08,3.97,75.06
1-14,normal,2177,2221,3,855.84,25.46,15.78,2.0,4.0,75.01,33.6,1094.82,678.5,416.32,-495,-249,-375,-144,0.59,179.19,3.34,91.11
