VideoName,BehaviorName,StartFrame,EndFrame,BehaviorType,DTW_distance,Fish0_avg_velocity,Fish1_avg_velocity,Fish0_min_velocity,Fish1_min_velocity,Fish0_max_velocity,Fish1_max_velocity,Fish0_movement_length,Fish1_movement_length,movement_length_differnece,Fish0_moving_direction_x,Fish0_moving_direction_y,Fish1_moving_direction_x,Fish1_moving_direction_y,same_direction_ratio,max_vector_angle,min_vector_angle,avg_vector_angle
1-14,normal,20425,20467,3,2130.02,8.79,18.16,2.24,3.16,16.28,40.61,360.27,744.51,-384.24,309,-16,281,-42,0.57,177.57,0.0,79.95
1-14,normal,20489,20514,3,1405.04,10.47,23.1,1.41,12.21,18.0,43.57,251.21,554.34,-303.13,152,10,-321,212,0.44,177.44,0.0,103.43
1-14,normal,20594,20618,3,1618.75,24.5,13.61,8.06,4.47,43.97,21.1,563.53,313.13,250.4,-531,-98,305,-1,0.08,176.29,26.57,145.48
1-14,normal,21708,21758,3,1109.09,19.54,14.27,1.0,3.61,39.01,38.01,957.57,699.02,258.55,-275,-15,-423,133,0.18,178.19,0.0,123.34
1-14,normal,21774,21834,3,1614.65,9.92,31.13,3.0,3.16,21.38,89.11,585.39,1836.52,-1251.13,-495,16,-65,-118,0.42,180.0,0.0,106.29
1-14,normal,21867,21953,3,2437.89,13.21,14.4,1.0,2.83,30.15,32.02,1123.25,1224.23,-100.98,-118,42,474,-1,0.36,180.0,0.81,113.88
1-14,normal,3234,3299,3,840.96,10.39,14.67,1.0,2.24,31.62,52.17,665.26,938.62,-273.36,94,56,245,71,0.45,175.64,0.0,91.28
1-14,normal,3046,3078,3,840.43,18.64,22.57,1.0,2.83,31.26,64.47,577.78,699.74,-121.96,495,97,160,240,0.47,175.95,0.0,85.31
1-14,normal,2969,3000,3,711.32,17.98,27.9,2.83,2.83,51.48,64.5,539.46,836.94,-297.48,-474,-19,-519,158,0.23,178.6,0.0,99.35
1-14,normal,500,519,3,871.45,25.62,21.52,5.66,5.83,38.95,50.04,461.13,387.43,73.7,-374,260,157,-72,0.26,176.56,6.12,113.69
1-22_2nd,bite,680,720,0,372.3,20.17,23.45,6.08,3.0,53.0,71.18,786.62,914.63,-128.01,-223,110,-54,-44,0.3,179.19,0.0,122.28
1-22_2nd,bite,15978,15992,0,782.38,27.03,26.61,5.0,4.0,65.25,72.99,351.34,345.91,5.43,-341,-66,329,7,0.14,177.57,67.77,154.96
