VideoName,BehaviorName,StartFrame,EndFrame,BehaviorType,DTW_distance,Fish0_avg_velocity,Fish1_avg_velocity,Fish0_min_velocity,Fish1_min_velocity,Fish0_max_velocity,Fish1_max_velocity,Fish0_movement_length,Fish1_movement_length,movement_length_differnece,Fish0_moving_direction_x,Fish0_moving_direction_y,Fish1_moving_direction_x,Fish1_moving_direction_y,same_direction_ratio,max_vector_angle,min_vector_angle,avg_vector_angle
1-14,display,5025,5041,2,665.94,11.19,20.31,0.0,7.21,66.48,37.85,167.78,304.65,-136.87,-150,1,-38,72,0.5,177.86,0.0,75.62
1-14,display,5148,5158,2,671.94,12.19,13.37,1.0,9.0,31.32,19.0,109.73,120.31,-10.58,41,-90,120,5,0.6,100.91,36.87,70.67
1-14,display,5173,5181,2,541.04,18.56,18.68,7.81,12.65,53.15,28.32,129.91,130.75,-0.84,-19,-93,-112,-65,0.75,95.27,10.0,54.58
1-14,display,5045,5056,2,564.91,12.83,8.12,1.0,4.12,38.91,18.44,128.34,81.23,47.11,70,101,14,51,0.82,176.86,11.3,47.02
1-14,display,6160,6260,2,1400.49,20.47,20.77,3.16,0.0,60.22,161.82,2026.66,2056.09,-29.43,394,44,201,243,0.34,180.0,0.0,95.6
1-14,display,9909,9950,2,649.73,11.32,13.1,3.0,3.16,28.32,35.01,452.67,524.08,-71.41,-27,148,-81,-39,0.22,179.19,0.0,118.74
1-14,display,8871,8938,2,754.83,9.95,7.77,1.41,0.0,32.14,35.06,656.87,513.09,143.78,-136,115,74,34,0.55,176.86,1.4,75.43
1-14,display,8682,8870,2,1094.99,12.19,15.44,0.0,0.0,78.92,79.4,2280.13,2886.42,-606.29,126,-130,-67,-55,0.45,179.19,0.0,82.27
1-14,display,8374,8425,2,654.49,17.49,12.68,0.0,0.0,53.14,45.28,874.35,633.82,240.53,220,30,-118,54,0.12,179.19,49.57,129.2
1-14,display,7863,7919,2,926.95,9.31,8.13,1.0,0.0,76.69,65.31,512.11,447.07,65.04,100,-60,-230,46,0.38,180.0,0.0,90.16
1-14,display,5610,5638,2,372.97,12.84,19.79,3.16,1.41,75.54,61.07,346.81,534.29,-187.48,225,7,25,-74,0.39,178.02,0.0,105.6
1-14,display,7600,7641,2,863.87,14.09,10.49,1.0,1.41,40.45,40.31,563.59,419.61,143.98,366,-46,65,-1,0.41,180.0,0.0,95.32
1-14,display,7798,7826,2,757.3,9.94,13.84,1.0,2.24,29.07,34.37,268.4,373.81,-105.41,-144,-66,-247,-37,0.57,180.0,1.4,77.21
1-14,display,6770,6810,2,851.62,12.04,10.59,2.0,1.41,80.02,61.07,469.62,413.05,56.57,-99,-80,-147,29,0.42,178.6,0.0,66.23
1-14,display,6567,6613,2,793.33,17.61,14.69,0.0,2.24,77.1,66.6,792.57,660.99,131.58,38,190,50,19,0.17,178.6,1.98,125.53
1-14,display,6479,6500,2,411.29,9.35,11.4,2.24,1.41,25.46,35.61,187.04,227.96,-40.92,-61,6,83,-37,0.14,173.67,70.02,118.38
1-14,display,6360,6470,2,919.37,13.16,15.48,1.0,1.0,71.87,72.69,1434.68,1687.53,-252.85,104,47,-2,168,0.48,175.64,2.69,89.85
1-14,display,2265,2404,2,1192.15,27.78,19.72,0.0,1.0,98.23,116.9,3833.5,2721.08,1112.42,192,154,-70,-43,0.41,178.19,1.15,103.59
1-14,display,3530,3555,2,1007.58,16.98,11.01,4.24,1.41,33.02,23.09,407.4,264.35,143.05,95,-255,-134,-101,0.28,172.66,4.29,99.89
1-14,normal,25055,25100,3,6123.53,15.61,13.74,2.24,1.0,38.6,39.12,686.98,604.47,82.51,625,-149,-433,160,0.29,179.19,45.0,127.0
1-14,normal,2089,2116,3,696.33,26.54,18.65,7.81,3.0,52.15,73.0,690.02,484.98,205.04,-60,188,160,-48,0.59,174.94,0.0,76.78
