VideoName,BehaviorName,StartFrame,EndFrame,BehaviorType,DTW_distance,Fish0_avg_velocity,Fish1_avg_velocity,Fish0_min_velocity,Fish1_min_velocity,Fish0_max_velocity,Fish1_max_velocity,Fish0_movement_length,Fish1_movement_length,movement_length_differnece,Fish0_moving_direction_x,Fish0_moving_direction_y,Fish1_moving_direction_x,Fish1_moving_direction_y,same_direction_ratio,max_vector_angle,min_vector_angle,avg_vector_angle
1-14,normal,3626,3649,3,528.21,12.09,10.74,3.16,1.41,25.06,44.28,266.04,236.36,29.68,117,169,-25,-62,0.35,177.31,0.0,92.41
1-14,normal,19795,19852,3,3228.96,21.9,11.48,7.28,0.0,46.0,25.61,1226.3,643.12,583.18,285,-26,-453,251,0.42,172.18,4.29,87.49
1-14,normal,3581,3591,3,135.28,12.28,12.72,2.0,2.24,40.61,39.01,110.52,114.52,-4.0,79,14,53,-8,0.4,176.86,24.48,94.74
1-14,normal,20425,20467,3,2131.56,8.77,18.07,1.0,0.0,16.12,38.33,359.71,740.77,-381.06,309,-15,286,-39,0.57,179.19,0.81,82.11
1-14,normal,20489,20514,3,1410.06,11.15,23.22,1.41,6.32,18.03,46.69,267.52,557.31,-289.79,139,5,-343,209,0.44,178.85,1.15,106.93
1-14,normal,20594,20618,3,1622.27,24.53,13.76,8.54,6.4,41.76,22.02,564.08,316.46,247.62,-532,-98,309,0,0.04,179.19,14.05,146.21
1-14,normal,21708,21758,3,1107.3,19.56,14.26,1.0,3.61,39.01,39.05,958.21,698.57,259.64,-277,-14,-423,133,0.18,177.08,0.0,123.05
1-14,normal,21774,21834,3,1621.44,9.96,31.29,3.0,1.0,21.38,86.98,587.77,1846.38,-1258.61,-498,16,-64,-118,0.43,180.0,1.81,105.74
1-14,normal,21867,21953,3,2455.22,13.35,14.57,1.0,3.0,31.26,32.0,1134.6,1238.19,-103.59,-112,43,468,-2,0.36,180.0,0.81,113.77
1-14,normal,3234,3299,3,839.87,10.06,14.81,0.0,1.0,47.3,63.06,643.83,947.57,-303.74,83,50,245,75,0.46,177.86,0.0,90.22
1-14,normal,3046,3078,3,846.89,18.77,22.73,2.0,3.61,32.25,65.92,581.85,704.7,-122.85,497,96,163,240,0.44,175.27,0.0,86.72
1-14,normal,2969,3000,3,718.16,18.12,27.82,2.0,3.61,50.49,67.36,543.54,834.53,-290.99,-473,-19,-519,158,0.48,180.0,0.81,88.4
1-14,normal,500,519,3,880.26,25.89,21.61,8.54,2.0,38.08,54.45,466.07,388.98,77.09,-379,263,159,-73,0.32,180.0,4.36,109.57
1-22_2nd,bite,15230,15246,0,524.35,32.47,25.24,15.03,11.31,50.25,68.0,487.09,378.55,108.54,-462,108,-356,-53,1.0,82.4,2.43,28.83
1-22_2nd,bite,12520,12540,0,313.95,33.76,25.52,14.42,5.0,75.58,62.97,641.41,484.96,156.45,-252,-263,-313,-101,0.4,169.39,5.19,94.83
1-22_2nd,bite,4277,4323,0,819.53,30.97,20.21,8.94,4.47,81.02,41.63,1393.43,909.47,483.96,142,-72,-54,-81,0.72,180.0,0.0,53.04
1-22_2nd,bite,16946,16963,0,585.92,33.27,38.76,8.54,17.03,82.15,85.44,532.27,620.22,-87.95,-251,256,60,388,0.76,171.04,3.34,65.27
1-22_2nd,bite,4101,4154,0,956.03,19.53,26.1,1.0,2.83,65.74,74.81,1015.62,1357.03,-341.41,170,-101,227,-15,0.38,179.19,8.15,106.46
1-22_2nd,bite,3882,3933,0,513.28,21.58,21.88,2.0,5.1,60.46,60.42,1078.92,1094.16,-15.24,-15,186,-151,282,0.37,176.56,0.0,95.82
1-22_2nd,bite,735,840,0,812.85,28.25,21.18,1.41,2.0,84.05,76.01,2937.95,2202.62,735.33,-127,85,-301,197,0.37,180.0,2.29,105.99
1-22_2nd,bite,3093,3152,0,537.37,17.16,15.12,2.0,2.0,51.24,65.39,995.1,877.03,118.07,201,-55,285,84,0.44,175.64,0.0,90.24
1-22_2nd,chase,16372,16388,1,261.24,36.1,31.42,10.0,9.49,82.49,86.01,541.49,471.24,70.25,338,11,395,-83,0.56,156.21,6.97,80.91
1-22_2nd,chase,15150,15165,1,2166.14,50.42,23.64,16.12,14.14,76.49,43.28,705.85,330.9,374.95,-565,88,302,30,0.0,174.81,105.31,138.45
1-22_2nd,display,1700,1758,2,961.11,25.03,9.2,5.0,2.24,66.71,29.15,1426.45,524.54,901.91,-207,-13,-208,124,0.52,178.85,2.81,85.16
1-22_2nd,display,1215,1280,2,932.26,12.3,21.31,2.24,1.0,30.59,42.01,787.07,1363.61,-576.54,-289,18,-76,-163,0.43,180.0,0.0,98.54
1-22_2nd,display,1794,1851,2,851.67,9.48,9.21,1.0,1.0,23.77,22.14,531.07,515.76,15.31,62,66,-104,-40,0.35,180.0,0.0,96.48
1-22_2nd,normal,11453,11525,3,1685.92,22.77,18.16,5.0,7.07,42.0,34.18,1616.55,1289.41,327.14,-512,176,46,-26,0.29,178.6,1.62,125.91
1-22_2nd,normal,15253,15294,3,1412.53,18.48,8.98,2.0,2.24,37.66,18.11,739.19,359.27,379.92,533,3,19,17,0.46,180.0,1.62,94.05
1-22_2nd,normal,15523,15589,3,2765.51,19.98,11.07,8.6,0.0,34.53,23.02,1298.93,719.47,579.46,406,150,-170,82,0.12,178.38,3.34,139.17
1-22_2nd,normal,15628,15674,3,1329.03,23.16,11.67,10.2,2.24,45.19,21.63,1042.33,525.15,517.18,-414,-136,-234,222,0.24,180.0,0.0,110.35
1-22_2nd,normal,11305,11376,3,2444.8,22.32,16.74,3.16,6.0,36.67,32.31,1562.49,1171.5,390.99,1123,-289,579,103,0.52,178.6,1.4,84.64
1-22_2nd,normal,10855,10892,3,1445.31,21.21,21.98,7.0,1.0,32.65,53.15,763.54,791.44,-27.9,84,-121,247,-87,0.16,179.19,18.21,142.9
